"형법범 (건)",과실범죄,과실치사상,2946,689,195,149,170,77,74,34,12,714,153,63,90,89,72,123,174,68
"형법범 (건)",과실범죄,업무상 과실치사상,4161,583,293,157,211,103,80,49,29,1136,172,184,180,155,214,198,298,119
"형법범 (건)",과실범죄,실화,2696,523,125,80,114,49,56,24,18,766,92,106,155,105,144,138,147,54
"형법범 (건)",기타형법범죄,소계,96524,22111,7222,3960,7128,2350,2399,801,386,22052,3329,2331,3441,3423,3141,4227,6281,1942
"형법범 (건)",기타형법범죄,명예,31201,8662,2191,1256,2674,764,814,215,104,7207,730,553,807,1021,902,1147,1765,389
"형법범 (건)",기타형법범죄,권리행사방해,6059,747,378,279,439,208,180,70,34,1499,200,224,319,252,256,376,511,87
"형법범 (건)",기타형법범죄,신용업무경매,17901,4049,1424,739,1265,543,404,163,59,4570,490,421,611,414,656,640,1063,390
"형법범 (건)",기타형법범죄,주거침입,20090,3859,1558,711,1537,347,428,127,73,4488,1115,581,757,1028,578,1020,1230,653
"형법범 (건)",기타형법범죄,비밀침해,143,46,12,7,7,1,6,3,-,41,1,3,1,2,2,4,6,1
"형법범 (건)",기타형법범죄,유기,278,71,25,6,12,8,10,1,-,67,12,8,6,7,11,15,17,2
"형법범 (건)",기타형법범죄,교통방해,1240,68,42,51,54,15,19,18,14,296,96,58,112,72,95,100,108,22
"형법범 (건)",기타형법범죄,공무방해,11657,2654,892,562,711,241,322,119,58,2233,403,347,546,313,405,606,979,266
"형법범 (건)",기타형법범죄,도주와범인은닉,266,40,32,13,7,5,4,4,-,61,19,11,14,9,6,13,23,5
"형법범 (건)",기타형법범죄,위증과 증거인멸,2056,494,187,110,133,63,67,21,6,400,63,36,65,82,59,70,173,27
"형법범 (건)",기타형법범죄,무고,5263,1249,458,223,273,145,144,47,36,1119,193,87,193,214,164,224,396,98
"형법범 (건)",기타형법범죄,공안을 해하는죄,324,163,16,3,15,10,1,10,-,65,5,-,9,6,4,6,9,2
"형법범 (건)",기타형법범죄,내란의죄,7,4,-,-,-,-,-,-,1,-,-,1,-,1,-,-,-,-
"형법범 (건)",기타형법범죄,음용수에 관한죄,25,-,6,-,1,-,-,1,1,3,2,1,1,1,2,5,1,-
"형법범 (건)",기타형법범죄,일수와 수리에 관한죄,6,-,1,-,-,-,-,2,-,1,-,-,-,1,1,-,-,-
"형법범 (건)",기타형법범죄,기타,8,5,-,-,-,-,-,-,-,2,-,-,-,-,-,1,-,-
"특별법범 (건)",소계,소계,586955,91210,40936,23597,33442,17257,12924,8630,2663,152426,19524,17612,29599,19956,34848,30281,42522,9528
"특별법범 (건)",가정폭력 범죄의 처벌등에 관한 특례법,소계,1437,243,40,74,99,31,45,6,7,435,32,27,64,43,88,41,98,64
"특별법범 (건)",가축분뇨의 관리 및 이용에 관한법률,소계,684,-,2,9,13,2,1,2,17,143,26,46,143,73,56,79,56,16
"특별법범 (건)",감염병의 예방 및 관리에 관한법률,소계,1133,511,31,29,100,26,14,6,10,210,32,30,14,14,22,22,57,5
"특별법범 (건)",개발제한구역의 지정 및 관리에 관한 특별조치법,소계,318,32,67,11,38,6,13,2,-,107,-,1,1,-,13,4,23,-
"특별법범 (건)",개인정보보호법,소계,2264,536,192,86,109,78,65,11,19,583,43,48,84,53,77,103,142,35
"특별법범 (건)",건강기능식품에 관한법률,소계,209,40,13,8,25,5,1,-,-,72,9,10,1,3,3,4,8,7
"특별법범 (건)",건설기계관리법,소계,275,13,14,8,17,3,5,8,1,65,8,9,13,20,19,24,47,1
"특별법범 (건)",건설산업기본법,소계,983,152,73,33,63,19,19,6,8,335,25,29,40,27,38,23,74,19
"특별법범 (건)",건축법,소계,6362,175,4193,11,85,7,53,5,7,584,465,146,282,73,58,93,73,52
"특별법범 (건)",게임산업진흥에 관한법률,소계,2926,295,125,189,263,123,70,34,15,651,160,135,190,74,111,208,228,55
"특별법범 (건)",결혼중개업의 관리에 관한법률,소계,52,12,4,5,3,1,2,-,1,13,1,1,3,3,-,2,-,1
"특별법범 (건)",경범죄처벌법,소계,10098,2704,648,470,921,233,190,121,29,2859,219,183,204,132,235,292,495,163
"특별법범 (건)",고용보험법,소계,3837,718,425,174,1,158,2,92,-,1317,78,64,223,56,50,115,313,51
"특별법범 (건)",공유수면관리 및 매립에 관한법률,소계,7372,-,15,-,9,-,-,10,-,31,12,3,27,5,5948,12,1236,64
"특별법범 (건)",공유재산 및 물품관리법,소계,85,7,21,-,3,1,1,-,-,19,1,3,1,14,2,3,8,1
"특별법범 (건)",공인중개사법,소계,1761,420,116,85,141,19,22,13,17,522,46,46,45,17,27,79,123,23
"특별법범 (건)",공중위생관리법,소계,1921,509,417,107,78,32,30,11,-,176,118,9,42,28,20,65,104,175
"특별법범 (건)",공직선거법,소계,86,19,3,4,5,2,1,4,-,6,1,1,2,5,5,10,17,1
"특별법범 (건)",관세법,소계,340,65,64,13,121,18,-,7,1,4,1,6,10,1,8,2,17,2
"특별법범 (건)",교통사고처리 특례법,소계,71186,11390,4104,3581,2483,2426,2713,697,440,19310,2249,2879,3458,2601,2657,3914,5015,1269
"특별법범 (건)",국가기술자격법,소계,40,2,1,-,3,2,-,-,-,15,1,1,2,-,1,9,2,1
"특별법범 (건)",국가보안법,소계,63,40,-,1,2,3,-,-,-,8,-,4,1,1,1,1,1,-
"특별법범 (건)",국민체육진흥법,소계,257,33,33,10,12,7,10,1,-,54,7,5,11,37,9,10,15,3
"특별법범 (건)",국토의계획 및 이용에 관한법률,소계,1445,21,19,4,21,4,19,5,9,639,158,58,132,66,47,86,149,8
"특별법범 (건)",근로기준법,소계,26053,4704,1992,1277,8,1497,-,775,-,8583,716,641,1813,900,764,744,1636,3
"특별법범 (건)",근로자 퇴직급여 보장법,소계,6774,1454,574,363,3,371,-,233,-,2122,151,130,385,179,177,157,474,1
"특별법범 (건)",낚시관리 및 육성법,소계,570,-,3,-,22,-,-,4,-,22,16,-,10,2,245,14,17,215
"특별법범 (건)",노동조합 및 노동관계 조정법,소계,345,66,24,31,-,19,-,20,-,76,7,11,19,19,16,12,25,-
"특별법범 (건)",농수산물유통 및 가격안정에 관한법률,소계,103,67,9,16,2,-,-,-,-,8,-,-,-,-,-,1,-,-
"특별법범 (건)",농수산물의원산지표시등에관한법률,소계,2215,124,178,2,90,1,12,16,9,452,127,113,194,129,194,370,168,36
"특별법범 (건)",농지법,소계,640,9,13,2,18,5,6,4,4,229,23,47,46,28,68,59,64,15
"특별법범 (건)",대기환경보전법,소계,2530,157,102,87,136,41,48,20,11,1127,47,61,133,79,66,131,244,40
"특별법범 (건)",대부업 등의 등록 및 금융이용자 보호에 관한법률,소계,1057,241,97,28,104,20,19,14,5,312,43,20,22,16,17,32,57,10
"특별법범 (건)",도로교통법,소계,11203,2152,517,417,479,300,173,305,55,3368,355,383,548,212,461,657,627,194
"특별법범 (건)",도로교통법(무면허운전),소계,20377,2259,1312,1034,1236,590,401,361,63,4991,854,764,1136,546,1446,1401,1602,381
"특별법범 (건)",도로교통법(사고후미조치),소계,7441,783,240,250,278,243,67,103,57,2886,188,243,392,246,379,402,526,158
"특별법범 (건)",도로교통법(음주운전),소계,101662,10857,4319,5003,5172,4056,2431,1220,510,28919,4013,3888,5862,3227,5341,6779,7734,2331
"특별법범 (건)",도로교통법(음주측정거부),소계,3491,384,146,124,135,95,75,48,26,930,157,148,226,117,192,268,322,98
"특별법범 (건)",도로법,소계,7521,248,286,241,368,157,116,34,44,3345,197,187,604,278,221,517,628,50
"특별법범 (건)",도시 및 주거환경 정비법,소계,456,132,67,58,44,14,11,1,-,73,3,4,2,17,6,7,16,1
"특별법범 (건)",독점규제 및 공정거래에 관한법률,소계,27,15,2,2,1,2,-,-,-,3,-,-,1,-,-,-,1,-
"특별법범 (건)",디자인보호법,소계,96,22,5,8,5,-,27,-,1,19,-,1,1,-,1,2,4,-
"특별법범 (건)",마약류 관리에 관한법률(대마),소계,2178,821,127,36,315,67,20,17,4,299,153,43,65,10,21,59,106,15
"특별법범 (건)",마약류 관리에 관한법률(마약),소계,3764,232,363,116,125,141,42,34,27,854,397,236,168,91,213,417,299,9
"특별법범 (건)",마약류 관리에 관한법률(향정),소계,11169,2888,1177,496,1209,302,199,96,22,2094,212,241,298,133,245,323,1135,99
"특별법범 (건)",물환경보전법,소계,590,27,13,29,13,12,3,10,1,223,19,18,44,29,19,34,86,10
"특별법범 (건)",배타적경제수역에서의 외국인어업등에 관한 주권적권리의 행사에 관한법률,소계,118,-,-,-,4,-,-,-,-,-,-,-,-,8,80,-,-,26
"특별법범 (건)",범죄수익 은닉의 규제 및 처벌 등에 관한법률,소계,870,142,81,39,36,77,24,49,-,236,19,22,26,28,18,20,50,3
"특별법범 (건)",변호사법,소계,338,97,30,13,26,17,8,8,1,63,8,8,7,7,7,9,24,5
"특별법범 (건)",병역법,소계,5526,1307,169,258,426,73,161,31,24,2054,123,97,153,97,98,249,177,29
"특별법범 (건)",보조금관리에 관한법률,소계,542,96,77,20,22,23,10,11,7,82,17,11,18,29,29,28,55,7
"특별법범 (건)",부동산 실권리자 명의 등기에 관한법률,소계,369,60,22,6,28,9,7,2,3,106,22,19,17,15,12,21,12,8
"특별법범 (건)",부정경쟁방지 및 영업비밀 보호에 관한법률,소계,599,187,45,14,33,9,51,8,1,152,2,22,16,14,5,17,18,5
"특별법범 (건)",부정수표단속법,소계,530,152,28,40,25,1,2,2,-,151,19,7,14,5,19,21,41,3
"특별법범 (건)",사행행위 등 규제 및 처벌특례법,소계,93,17,7,1,19,4,-,-,-,16,2,4,5,2,1,2,13,-
"특별법범 (건)",산림자원의 조성 및 관리에 관한법률,소계,618,6,1,8,18,-,1,1,5,57,98,55,48,38,66,155,48,13
"특별법범 (건)",산업안전보건법,소계,2733,207,164,102,1,137,-,43,1,1004,86,187,309,107,75,147,161,2
"특별법범 (건)",산지관리법,소계,1837,13,6,9,47,3,1,10,26,492,157,159,211,141,144,237,144,37
"특별법범 (건)",상표법,소계,2917,1016,203,120,216,50,192,9,4,591,34,29,51,43,19,59,266,15
"특별법범 (건)",석유 및 석유대체연료 사업법,소계,310,8,9,16,17,5,1,10,2,49,3,15,18,24,20,69,42,2
"특별법범 (건)",선박안전법,소계,758,1,10,-,7,-,-,5,-,4,29,-,9,16,102,11,535,29
